starttime	seconds	ctime	dtime	ttime	wait
Tue Nov 20 08:45:53 2012	1353368753	0	6	6	6
Tue Nov 20 08:45:53 2012	1353368753	0	6	6	6
Tue Nov 20 08:45:53 2012	1353368753	0	6	6	6
Tue Nov 20 08:45:55 2012	1353368755	0	6	6	6
Tue Nov 20 08:45:56 2012	1353368756	0	6	6	6
Tue Nov 20 08:45:53 2012	1353368753	0	6	6	6
Tue Nov 20 08:45:56 2012	1353368756	0	6	6	6
Tue Nov 20 08:45:55 2012	1353368755	0	6	6	6
Tue Nov 20 08:45:56 2012	1353368756	0	6	6	6
Tue Nov 20 08:45:53 2012	1353368753	0	6	6	6
Tue Nov 20 08:45:56 2012	1353368756	0	6	6	6
Tue Nov 20 08:45:55 2012	1353368755	0	6	6	6
Tue Nov 20 08:45:53 2012	1353368753	0	6	6	6
Tue Nov 20 08:45:53 2012	1353368753	0	6	6	6
Tue Nov 20 08:45:56 2012	1353368756	0	6	6	6
Tue Nov 20 08:45:56 2012	1353368756	0	6	6	6
Tue Nov 20 08:45:53 2012	1353368753	0	6	6	6
Tue Nov 20 08:45:56 2012	1353368756	0	6	6	6
Tue Nov 20 08:45:55 2012	1353368755	0	6	6	6
Tue Nov 20 08:45:56 2012	1353368756	0	6	6	6
Tue Nov 20 08:45:55 2012	1353368755	0	6	6	6
Tue Nov 20 08:45:55 2012	1353368755	0	6	6	6
Tue Nov 20 08:45:55 2012	1353368755	0	6	6	6
Tue Nov 20 08:45:53 2012	1353368753	0	6	6	6
Tue Nov 20 08:45:55 2012	1353368755	0	6	6	6
Tue Nov 20 08:45:53 2012	1353368753	0	6	6	6
Tue Nov 20 08:45:53 2012	1353368753	0	6	6	6
Tue Nov 20 08:45:56 2012	1353368756	0	6	6	6
Tue Nov 20 08:45:56 2012	1353368756	0	6	6	6
Tue Nov 20 08:45:56 2012	1353368756	0	6	6	6
Tue Nov 20 08:45:56 2012	1353368756	0	6	6	6
Tue Nov 20 08:45:53 2012	1353368753	0	6	6	6
Tue Nov 20 08:45:55 2012	1353368755	0	6	6	6
Tue Nov 20 08:45:55 2012	1353368755	0	6	6	6
Tue Nov 20 08:45:56 2012	1353368756	0	6	6	6
Tue Nov 20 08:45:55 2012	1353368755	0	6	6	6
Tue Nov 20 08:45:55 2012	1353368755	0	6	6	6
Tue Nov 20 08:45:55 2012	1353368755	0	6	6	6
Tue Nov 20 08:45:56 2012	1353368756	0	6	6	6
Tue Nov 20 08:45:53 2012	1353368753	0	6	6	6
Tue Nov 20 08:45:56 2012	1353368756	0	6	6	6
Tue Nov 20 08:45:55 2012	1353368755	0	6	6	6
Tue Nov 20 08:45:55 2012	1353368755	0	6	6	6
Tue Nov 20 08:45:55 2012	1353368755	0	6	6	6
Tue Nov 20 08:45:56 2012	1353368756	0	6	6	6
Tue Nov 20 08:45:53 2012	1353368753	0	6	6	6
Tue Nov 20 08:45:53 2012	1353368753	0	6	6	6
Tue Nov 20 08:45:55 2012	1353368755	0	6	6	6
Tue Nov 20 08:45:55 2012	1353368755	0	6	6	6
Tue Nov 20 08:45:55 2012	1353368755	0	6	6	6
Tue Nov 20 08:45:56 2012	1353368756	0	6	6	6
Tue Nov 20 08:45:53 2012	1353368753	0	6	6	6
Tue Nov 20 08:45:53 2012	1353368753	0	6	6	6
Tue Nov 20 08:45:55 2012	1353368755	0	6	6	6
Tue Nov 20 08:45:53 2012	1353368753	0	6	6	6
Tue Nov 20 08:45:55 2012	1353368755	0	6	6	6
Tue Nov 20 08:45:54 2012	1353368754	0	6	6	6
Tue Nov 20 08:45:55 2012	1353368755	0	6	6	6
Tue Nov 20 08:45:53 2012	1353368753	0	6	6	6
Tue Nov 20 08:45:54 2012	1353368754	0	6	6	6
Tue Nov 20 08:45:56 2012	1353368756	0	6	6	6
Tue Nov 20 08:45:56 2012	1353368756	0	6	6	6
Tue Nov 20 08:45:56 2012	1353368756	0	6	6	6
Tue Nov 20 08:45:56 2012	1353368756	0	6	6	6
Tue Nov 20 08:45:55 2012	1353368755	0	6	6	6
Tue Nov 20 08:45:55 2012	1353368755	0	6	6	6
Tue Nov 20 08:45:55 2012	1353368755	0	6	6	6
Tue Nov 20 08:45:54 2012	1353368754	0	6	6	6
Tue Nov 20 08:45:56 2012	1353368756	0	6	6	6
Tue Nov 20 08:45:53 2012	1353368753	0	6	6	6
Tue Nov 20 08:45:53 2012	1353368753	0	6	6	6
Tue Nov 20 08:45:55 2012	1353368755	0	6	6	6
Tue Nov 20 08:45:55 2012	1353368755	0	6	6	6
Tue Nov 20 08:45:53 2012	1353368753	0	6	6	6
Tue Nov 20 08:45:53 2012	1353368753	0	6	6	6
Tue Nov 20 08:45:56 2012	1353368756	0	6	6	6
Tue Nov 20 08:45:53 2012	1353368753	0	6	6	6
Tue Nov 20 08:45:54 2012	1353368754	0	6	6	6
Tue Nov 20 08:45:56 2012	1353368756	0	6	6	6
Tue Nov 20 08:45:54 2012	1353368754	0	6	6	6
Tue Nov 20 08:45:56 2012	1353368756	0	6	6	6
Tue Nov 20 08:45:54 2012	1353368754	0	6	6	6
Tue Nov 20 08:45:53 2012	1353368753	0	6	6	6
Tue Nov 20 08:45:56 2012	1353368756	0	6	6	6
Tue Nov 20 08:45:53 2012	1353368753	0	6	6	6
Tue Nov 20 08:45:53 2012	1353368753	0	6	6	6
Tue Nov 20 08:45:53 2012	1353368753	0	6	6	6
Tue Nov 20 08:45:53 2012	1353368753	0	6	6	6
Tue Nov 20 08:45:55 2012	1353368755	0	6	6	6
Tue Nov 20 08:45:53 2012	1353368753	0	6	6	6
Tue Nov 20 08:45:56 2012	1353368756	0	6	6	6
Tue Nov 20 08:45:55 2012	1353368755	0	6	6	6
Tue Nov 20 08:45:56 2012	1353368756	0	6	6	6
Tue Nov 20 08:45:53 2012	1353368753	0	6	6	6
Tue Nov 20 08:45:55 2012	1353368755	0	6	6	6
Tue Nov 20 08:45:54 2012	1353368754	0	6	6	6
Tue Nov 20 08:45:56 2012	1353368756	0	6	6	6
Tue Nov 20 08:45:55 2012	1353368755	0	6	6	6
Tue Nov 20 08:45:54 2012	1353368754	0	6	6	6
Tue Nov 20 08:45:53 2012	1353368753	0	6	6	6
Tue Nov 20 08:45:56 2012	1353368756	0	6	6	6
Tue Nov 20 08:45:55 2012	1353368755	0	6	6	6
Tue Nov 20 08:45:53 2012	1353368753	0	6	6	6
Tue Nov 20 08:45:54 2012	1353368754	0	6	6	6
Tue Nov 20 08:45:53 2012	1353368753	0	6	6	6
Tue Nov 20 08:45:53 2012	1353368753	0	6	6	6
Tue Nov 20 08:45:55 2012	1353368755	0	6	6	6
Tue Nov 20 08:45:56 2012	1353368756	0	6	6	6
Tue Nov 20 08:45:53 2012	1353368753	0	6	6	6
Tue Nov 20 08:45:53 2012	1353368753	0	6	6	6
Tue Nov 20 08:45:53 2012	1353368753	0	6	6	6
Tue Nov 20 08:45:54 2012	1353368754	0	6	6	6
Tue Nov 20 08:45:54 2012	1353368754	0	6	6	6
Tue Nov 20 08:45:55 2012	1353368755	0	6	6	6
Tue Nov 20 08:45:56 2012	1353368756	0	6	6	6
Tue Nov 20 08:45:53 2012	1353368753	0	6	6	6
Tue Nov 20 08:45:54 2012	1353368754	0	6	6	6
Tue Nov 20 08:45:55 2012	1353368755	0	6	6	6
Tue Nov 20 08:45:53 2012	1353368753	0	6	6	6
Tue Nov 20 08:45:53 2012	1353368753	0	6	6	6
Tue Nov 20 08:45:56 2012	1353368756	0	6	6	6
Tue Nov 20 08:45:54 2012	1353368754	0	6	6	6
Tue Nov 20 08:45:56 2012	1353368756	0	6	6	6
Tue Nov 20 08:45:54 2012	1353368754	0	6	6	6
Tue Nov 20 08:45:55 2012	1353368755	0	6	6	6
Tue Nov 20 08:45:54 2012	1353368754	0	6	6	6
Tue Nov 20 08:45:53 2012	1353368753	0	6	6	6
Tue Nov 20 08:45:55 2012	1353368755	0	6	6	6
Tue Nov 20 08:45:56 2012	1353368756	0	6	6	6
Tue Nov 20 08:45:56 2012	1353368756	0	6	6	6
Tue Nov 20 08:45:55 2012	1353368755	0	6	6	6
Tue Nov 20 08:45:56 2012	1353368756	0	6	6	6
Tue Nov 20 08:45:55 2012	1353368755	0	6	6	6
Tue Nov 20 08:45:53 2012	1353368753	0	6	6	6
Tue Nov 20 08:45:54 2012	1353368754	0	6	6	6
Tue Nov 20 08:45:53 2012	1353368753	0	6	6	6
Tue Nov 20 08:45:54 2012	1353368754	0	6	6	6
Tue Nov 20 08:45:55 2012	1353368755	0	6	6	6
Tue Nov 20 08:45:55 2012	1353368755	0	6	6	6
Tue Nov 20 08:45:56 2012	1353368756	0	6	6	6
Tue Nov 20 08:45:56 2012	1353368756	0	6	6	6
Tue Nov 20 08:45:55 2012	1353368755	0	6	6	6
Tue Nov 20 08:45:56 2012	1353368756	0	6	6	6
Tue Nov 20 08:45:56 2012	1353368756	0	6	6	6
Tue Nov 20 08:45:55 2012	1353368755	0	6	6	6
Tue Nov 20 08:45:55 2012	1353368755	0	6	6	6
Tue Nov 20 08:45:55 2012	1353368755	0	6	6	6
Tue Nov 20 08:45:53 2012	1353368753	0	6	6	6
Tue Nov 20 08:45:53 2012	1353368753	0	6	6	6
Tue Nov 20 08:45:55 2012	1353368755	0	6	6	6
Tue Nov 20 08:45:54 2012	1353368754	0	6	6	6
Tue Nov 20 08:45:55 2012	1353368755	0	6	6	6
Tue Nov 20 08:45:53 2012	1353368753	0	6	6	6
Tue Nov 20 08:45:54 2012	1353368754	0	6	6	6
Tue Nov 20 08:45:53 2012	1353368753	0	6	6	6
Tue Nov 20 08:45:54 2012	1353368754	0	6	6	6
Tue Nov 20 08:45:54 2012	1353368754	0	6	6	6
Tue Nov 20 08:45:55 2012	1353368755	0	6	6	6
Tue Nov 20 08:45:53 2012	1353368753	0	6	6	6
Tue Nov 20 08:45:56 2012	1353368756	0	6	6	6
Tue Nov 20 08:45:53 2012	1353368753	0	6	6	6
Tue Nov 20 08:45:55 2012	1353368755	0	6	6	6
Tue Nov 20 08:45:54 2012	1353368754	0	6	6	6
Tue Nov 20 08:45:56 2012	1353368756	0	6	6	6
Tue Nov 20 08:45:53 2012	1353368753	0	6	6	6
Tue Nov 20 08:45:55 2012	1353368755	0	6	6	6
Tue Nov 20 08:45:53 2012	1353368753	0	6	6	6
Tue Nov 20 08:45:54 2012	1353368754	0	6	6	6
Tue Nov 20 08:45:55 2012	1353368755	0	6	6	6
Tue Nov 20 08:45:55 2012	1353368755	0	6	6	6
Tue Nov 20 08:45:56 2012	1353368756	0	6	6	6
Tue Nov 20 08:45:55 2012	1353368755	0	6	6	6
Tue Nov 20 08:45:53 2012	1353368753	0	6	6	6
Tue Nov 20 08:45:53 2012	1353368753	0	6	6	6
Tue Nov 20 08:45:54 2012	1353368754	0	6	6	6
Tue Nov 20 08:45:56 2012	1353368756	0	6	6	6
Tue Nov 20 08:45:53 2012	1353368753	0	6	6	6
Tue Nov 20 08:45:53 2012	1353368753	0	6	6	6
Tue Nov 20 08:45:55 2012	1353368755	0	6	6	6
Tue Nov 20 08:45:56 2012	1353368756	0	6	6	6
Tue Nov 20 08:45:55 2012	1353368755	0	6	6	6
Tue Nov 20 08:45:56 2012	1353368756	0	6	6	6
Tue Nov 20 08:45:55 2012	1353368755	0	6	6	6
Tue Nov 20 08:45:53 2012	1353368753	0	6	6	6
Tue Nov 20 08:45:53 2012	1353368753	0	6	6	6
Tue Nov 20 08:45:56 2012	1353368756	0	6	6	6
Tue Nov 20 08:45:53 2012	1353368753	0	6	6	6
Tue Nov 20 08:45:55 2012	1353368755	0	6	6	6
Tue Nov 20 08:45:55 2012	1353368755	0	6	6	6
Tue Nov 20 08:45:55 2012	1353368755	0	6	6	6
Tue Nov 20 08:45:54 2012	1353368754	0	6	6	6
Tue Nov 20 08:45:53 2012	1353368753	0	6	6	6
Tue Nov 20 08:45:55 2012	1353368755	0	6	6	6
Tue Nov 20 08:45:55 2012	1353368755	0	6	6	6
Tue Nov 20 08:45:55 2012	1353368755	0	6	6	6
Tue Nov 20 08:45:55 2012	1353368755	0	6	6	6
Tue Nov 20 08:45:53 2012	1353368753	0	6	6	6
Tue Nov 20 08:45:56 2012	1353368756	0	6	6	6
Tue Nov 20 08:45:55 2012	1353368755	0	6	6	6
Tue Nov 20 08:45:56 2012	1353368756	0	6	6	6
Tue Nov 20 08:45:56 2012	1353368756	0	6	6	6
Tue Nov 20 08:45:54 2012	1353368754	0	6	6	6
Tue Nov 20 08:45:55 2012	1353368755	0	6	6	6
Tue Nov 20 08:45:54 2012	1353368754	0	6	6	6
Tue Nov 20 08:45:53 2012	1353368753	0	6	6	6
Tue Nov 20 08:45:55 2012	1353368755	0	6	6	6
Tue Nov 20 08:45:55 2012	1353368755	0	6	6	6
Tue Nov 20 08:45:55 2012	1353368755	0	6	6	6
Tue Nov 20 08:45:56 2012	1353368756	0	6	6	6
Tue Nov 20 08:45:54 2012	1353368754	0	6	6	6
Tue Nov 20 08:45:55 2012	1353368755	0	7	7	6
Tue Nov 20 08:45:53 2012	1353368753	0	7	7	6
Tue Nov 20 08:45:53 2012	1353368753	0	7	7	6
Tue Nov 20 08:45:56 2012	1353368756	0	7	7	6
Tue Nov 20 08:45:54 2012	1353368754	0	7	7	7
Tue Nov 20 08:45:53 2012	1353368753	0	7	7	7
Tue Nov 20 08:45:53 2012	1353368753	0	7	7	7
Tue Nov 20 08:45:53 2012	1353368753	0	7	7	7
Tue Nov 20 08:45:53 2012	1353368753	0	7	7	7
Tue Nov 20 08:45:56 2012	1353368756	0	7	7	7
Tue Nov 20 08:45:56 2012	1353368756	0	7	7	7
Tue Nov 20 08:45:55 2012	1353368755	0	7	7	7
Tue Nov 20 08:45:55 2012	1353368755	0	7	7	7
Tue Nov 20 08:45:54 2012	1353368754	0	7	7	7
Tue Nov 20 08:45:54 2012	1353368754	0	7	7	7
Tue Nov 20 08:45:54 2012	1353368754	0	7	7	7
Tue Nov 20 08:45:53 2012	1353368753	0	7	7	7
Tue Nov 20 08:45:56 2012	1353368756	0	7	7	7
Tue Nov 20 08:45:55 2012	1353368755	0	7	7	7
Tue Nov 20 08:45:55 2012	1353368755	0	7	7	7
Tue Nov 20 08:45:55 2012	1353368755	0	7	7	7
Tue Nov 20 08:45:56 2012	1353368756	0	7	7	7
Tue Nov 20 08:45:53 2012	1353368753	0	7	7	7
Tue Nov 20 08:45:56 2012	1353368756	0	7	7	7
Tue Nov 20 08:45:55 2012	1353368755	0	7	7	7
Tue Nov 20 08:45:56 2012	1353368756	0	7	7	7
Tue Nov 20 08:45:53 2012	1353368753	0	7	7	7
Tue Nov 20 08:45:54 2012	1353368754	0	7	7	7
